"programme","min_usd","max_usd","data_specific","status"
"USAID Development Innovation Ventures",25000,15000000,"partial","discontinued"
"Grand Challenges Canada Transition to Scale",220000,1100000,"no","open"
"AI4D Responsible AI Empowering People",100000,1000000,"yes","open"
"The DIV Fund",25000,1000000,"partial","open"
"Milken-Motsepe Innovation Prize",50000,1000000,"no","open"
"Gates Foundation Grand Challenges",100000,500000,"partial","open"
"GSMA Innovation Fund",125000,315000,"partial","open"
"Mozilla Foundation Democracy x AI Cohort",50000,300000,"partial","open"
"Lacuna Fund",25000,250000,"yes","open"
"Grand Challenges Africa",50000,200000,"partial","open"
"Fuze by Digital Africa",22000,110000,"no","open"
"Africa Prize for Engineering Innovation",10000,63000,"no","open"
"Tunisia Startup Act",4000,20000,"no","open"
"Tony Elumelu Foundation Entrepreneurship Programme",5000,5000,"no","open"
"Arab Council for the Social Sciences Small Grants Program",3000,4000,"partial","open"
