region_code,region_name,definition,n_countries_approx
NOAM,North America,United States and Canada,2
LAC,Latin America and the Caribbean,Mexico Central America South America and the Caribbean,33
WEU,Western and Northern Europe,EU15 EFTA and the United Kingdom,21
EEU,Eastern Europe and the Western Balkans,EU accession states Western Balkans Ukraine Moldova and the South Caucasus,20
RUS,Russia Belarus and Central Asia,Russian Federation Belarus and the five Central Asian republics,7
MENA,Middle East and North Africa,The five North African states plus the Levant the Gulf Iran Israel and Turkiye. Arab League membership is not the rule: Sudan Mauritania Somalia Djibouti and Comoros are coded SSA,20
SSA,Sub-Saharan Africa,"Every African state other than Morocco Algeria Tunisia Libya and Egypt, including the Arab League members Sudan Mauritania Somalia Djibouti and Comoros",49
SAS,South Asia,India Pakistan Bangladesh Sri Lanka Nepal Bhutan Maldives Afghanistan,8
SEA,Southeast Asia,ASEAN states plus Timor-Leste,11
EAS,East Asia excluding mainland China,Japan South Korea Taiwan Hong Kong Macau Mongolia North Korea,7
CHN,Mainland China,People's Republic of China excluding Hong Kong Macau and Taiwan,1
OCE,Oceania,Australia New Zealand and the Pacific Island states,14
