company_id,iso3,coverage,scope
arab_barometer,DZA,3,exhaustive
arab_barometer,BHR,3,exhaustive
arab_barometer,EGY,3,exhaustive
arab_barometer,IRQ,3,exhaustive
arab_barometer,JOR,3,exhaustive
arab_barometer,KWT,3,exhaustive
arab_barometer,LBN,3,exhaustive
arab_barometer,LBY,3,exhaustive
arab_barometer,MRT,3,exhaustive
arab_barometer,MAR,3,exhaustive
arab_barometer,PSE,3,exhaustive
arab_barometer,QAT,3,exhaustive
arab_barometer,SAU,3,exhaustive
arab_barometer,SDN,3,exhaustive
arab_barometer,TUN,3,exhaustive
arab_barometer,YEM,3,exhaustive
afrobarometer,AGO,3,exhaustive
afrobarometer,BEN,3,exhaustive
afrobarometer,BWA,3,exhaustive
afrobarometer,BFA,3,exhaustive
afrobarometer,CPV,3,exhaustive
afrobarometer,CMR,3,exhaustive
afrobarometer,COG,3,exhaustive
afrobarometer,CIV,3,exhaustive
afrobarometer,SWZ,3,exhaustive
afrobarometer,ETH,3,exhaustive
afrobarometer,GAB,3,exhaustive
afrobarometer,GMB,3,exhaustive
afrobarometer,GHA,3,exhaustive
afrobarometer,GIN,3,exhaustive
afrobarometer,KEN,3,exhaustive
afrobarometer,LSO,3,exhaustive
afrobarometer,LBR,3,exhaustive
afrobarometer,MDG,3,exhaustive
afrobarometer,MWI,3,exhaustive
afrobarometer,MLI,3,exhaustive
afrobarometer,MUS,3,exhaustive
afrobarometer,MAR,3,exhaustive
afrobarometer,MOZ,3,exhaustive
afrobarometer,NAM,3,exhaustive
afrobarometer,NER,3,exhaustive
afrobarometer,NGA,3,exhaustive
afrobarometer,STP,3,exhaustive
afrobarometer,SEN,3,exhaustive
afrobarometer,SYC,3,exhaustive
afrobarometer,SLE,3,exhaustive
afrobarometer,ZAF,3,exhaustive
afrobarometer,SDN,3,exhaustive
afrobarometer,TZA,3,exhaustive
afrobarometer,TGO,3,exhaustive
afrobarometer,TUN,3,exhaustive
afrobarometer,UGA,3,exhaustive
afrobarometer,ZMB,3,exhaustive
afrobarometer,ZWE,3,exhaustive
latinobarometro,ARG,3,exhaustive
latinobarometro,BOL,3,exhaustive
latinobarometro,BRA,3,exhaustive
latinobarometro,CHL,3,exhaustive
latinobarometro,COL,3,exhaustive
latinobarometro,CRI,3,exhaustive
latinobarometro,DOM,3,exhaustive
latinobarometro,ECU,3,exhaustive
latinobarometro,SLV,3,exhaustive
latinobarometro,GTM,3,exhaustive
latinobarometro,HND,3,exhaustive
latinobarometro,MEX,3,exhaustive
latinobarometro,NIC,3,exhaustive
latinobarometro,PAN,3,exhaustive
latinobarometro,PRY,3,exhaustive
latinobarometro,PER,3,exhaustive
latinobarometro,URY,3,exhaustive
latinobarometro,VEN,3,exhaustive
lapop,ARG,3,exhaustive
lapop,BOL,3,exhaustive
lapop,BRA,3,exhaustive
