iso3,country_name,region_code,subregion,income_group,population_band,internet_band,conflict_affected,restrictive_research_regime
USA,United States,NOAM,Northern America,HIC,XL,high,0,0
CAN,Canada,NOAM,Northern America,HIC,M,high,0,0
MEX,Mexico,LAC,Central America,UMIC,XL,high,1,0
GTM,Guatemala,LAC,Central America,UMIC,M,medium,0,0
BLZ,Belize,LAC,Central America,UMIC,XS,medium,0,0
SLV,El Salvador,LAC,Central America,LMIC,S,medium,0,1
HND,Honduras,LAC,Central America,LMIC,M,medium,0,0
NIC,Nicaragua,LAC,Central America,LMIC,S,medium,0,1
CRI,Costa Rica,LAC,Central America,UMIC,S,high,0,0
PAN,Panama,LAC,Central America,HIC,S,high,0,0
CUB,Cuba,LAC,Caribbean,UMIC,M,medium,0,1
DOM,Dominican Republic,LAC,Caribbean,UMIC,M,high,0,0
HTI,Haiti,LAC,Caribbean,LIC,M,low,1,0
JAM,Jamaica,LAC,Caribbean,UMIC,S,high,0,0
TTO,Trinidad and Tobago,LAC,Caribbean,HIC,S,high,0,0
BHS,Bahamas,LAC,Caribbean,HIC,XS,high,0,0
BRB,Barbados,LAC,Caribbean,HIC,XS,high,0,0
LCA,Saint Lucia,LAC,Caribbean,UMIC,XS,high,0,0
GRD,Grenada,LAC,Caribbean,UMIC,XS,high,0,0
VCT,Saint Vincent and the Grenadines,LAC,Caribbean,UMIC,XS,high,0,0
ATG,Antigua and Barbuda,LAC,Caribbean,HIC,XS,high,0,0
DMA,Dominica,LAC,Caribbean,UMIC,XS,high,0,0
KNA,Saint Kitts and Nevis,LAC,Caribbean,HIC,XS,high,0,0
GUY,Guyana,LAC,South America,HIC,XS,medium,0,0
SUR,Suriname,LAC,South America,UMIC,XS,medium,0,0
VEN,Venezuela,LAC,South America,UMIC,M,medium,0,1
COL,Colombia,LAC,South America,UMIC,L,high,1,0
ECU,Ecuador,LAC,South America,UMIC,M,high,1,0
PER,Peru,LAC,South America,UMIC,M,high,0,0
BOL,Bolivia,LAC,South America,LMIC,M,medium,0,0
BRA,Brazil,LAC,South America,UMIC,XL,high,0,0
PRY,Paraguay,LAC,South America,UMIC,S,high,0,0
URY,Uruguay,LAC,South America,HIC,XS,high,0,0
ARG,Argentina,LAC,South America,UMIC,M,high,0,0
CHL,Chile,LAC,South America,HIC,M,high,0,0
GBR,United Kingdom,WEU,Northern Europe,HIC,L,high,0,0
IRL,Ireland,WEU,Northern Europe,HIC,S,high,0,0
FRA,France,WEU,Western Europe,HIC,L,high,0,0
DEU,Germany,WEU,Western Europe,HIC,L,high,0,0
NLD,Netherlands,WEU,Western Europe,HIC,M,high,0,0
BEL,Belgium,WEU,Western Europe,HIC,M,high,0,0
LUX,Luxembourg,WEU,Western Europe,HIC,XS,high,0,0
CHE,Switzerland,WEU,Western Europe,HIC,S,high,0,0
AUT,Austria,WEU,Western Europe,HIC,S,high,0,0
ITA,Italy,WEU,Southern Europe,HIC,L,high,0,0
ESP,Spain,WEU,Southern Europe,HIC,M,high,0,0
PRT,Portugal,WEU,Southern Europe,HIC,M,high,0,0
GRC,Greece,WEU,Southern Europe,HIC,M,high,0,0
MLT,Malta,WEU,Southern Europe,HIC,XS,high,0,0
CYP,Cyprus,WEU,Southern Europe,HIC,XS,high,0,0
DNK,Denmark,WEU,Northern Europe,HIC,S,high,0,0
SWE,Sweden,WEU,Northern Europe,HIC,M,high,0,0
NOR,Norway,WEU,Northern Europe,HIC,S,high,0,0
FIN,Finland,WEU,Northern Europe,HIC,S,high,0,0
ISL,Iceland,WEU,Northern Europe,HIC,XS,high,0,0
POL,Poland,EEU,Central Europe,HIC,M,high,0,0
CZE,Czechia,EEU,Central Europe,HIC,M,high,0,0
SVK,Slovakia,EEU,Central Europe,HIC,S,high,0,0
HUN,Hungary,EEU,Central Europe,HIC,S,high,0,0
ROU,Romania,EEU,Southeast Europe,HIC,M,high,0,0
BGR,Bulgaria,EEU,Southeast Europe,UMIC,S,high,0,0
SVN,Slovenia,EEU,Southeast Europe,HIC,XS,high,0,0
HRV,Croatia,EEU,Southeast Europe,HIC,S,high,0,0
SRB,Serbia,EEU,Western Balkans,UMIC,S,high,0,0
BIH,Bosnia and Herzegovina,EEU,Western Balkans,UMIC,S,high,0,0
MNE,Montenegro,EEU,Western Balkans,UMIC,XS,high,0,0
MKD,North Macedonia,EEU,Western Balkans,UMIC,S,high,0,0
ALB,Albania,EEU,Western Balkans,UMIC,S,high,0,0
XKX,Kosovo,EEU,Western Balkans,UMIC,XS,high,0,0
EST,Estonia,EEU,Baltic,HIC,XS,high,0,0
LVA,Latvia,EEU,Baltic,HIC,XS,high,0,0
LTU,Lithuania,EEU,Baltic,HIC,S,high,0,0
UKR,Ukraine,EEU,Eastern Europe,LMIC,M,high,1,0
MDA,Moldova,EEU,Eastern Europe,UMIC,XS,high,0,0
